original_index,label,uncertainty,uncertainty_percentile,loss,rarity,rarity_percentile,score,score_percentile
2,0,0.0032735245767980814,0.7118712067604065,0.0016852713888511062,0.6492406725883484,0.3333333432674408,0.5983098745346069,0.6334633231163025
9,31,4.915787576464936e-05,0.2282228171825409,1.764281842042692e-05,0.6467341780662537,0.6767676472663879,0.36278629302978516,0.30843085050582886
16,8,0.0027379326056689024,0.6916691660881042,0.0013556823832914233,0.6891783475875854,0.7070707082748413,0.6962896585464478,0.7739773988723755
23,87,0.042168423533439636,0.9330933094024658,0.04879647493362427,0.6492666006088257,0.4444444477558136,0.7864986062049866,0.8843884468078613
25,84,0.01724843680858612,0.8773877620697021,0.011623752303421497,0.6782647371292114,0.3232323229312897,0.7111411690711975,0.7947794795036316
41,45,2.9595285013783723e-06,0.06950695067644119,8.344646857949556e-07,0.8099087476730347,0.9090909361839294,0.3213821351528168,0.25222522020339966
42,49,0.0072623654268682,0.7961795926094055,0.0043481094762682915,0.5610983371734619,0.27272728085517883,0.6391438841819763,0.6897689700126648
51,14,2.7929627322009765e-05,0.18241824209690094,9.65590606938349e-06,0.6915991902351379,0.3232323229312897,0.22466248273849487,0.1306130588054657
53,9,0.0018366513540968299,0.6421642303466797,0.001019911258481443,0.6351453065872192,0.3636363744735718,0.5586058497428894,0.5826582908630371
56,47,0.0002444121928419918,0.38523852825164795,9.274052717955783e-05,0.7149964570999146,0.7070707082748413,0.48178818821907043,0.4728472828865051
57,20,0.00018384750001132488,0.3565356433391571,7.629103492945433e-05,0.5401883125305176,0.03030303120613098,0.25866585969924927,0.1686168611049652
58,98,0.001090985257178545,0.5748574733734131,0.0005052005290053785,0.7191653251647949,0.747474730014801,0.626642644405365,0.6725672483444214
60,36,0.0005793163436464965,0.493449330329895,0.00026127262390218675,0.7277382016181946,0.8181818127632141,0.5908690690994263,0.6234623193740845
62,72,0.00025298335822299123,0.3898389935493469,9.297892393078655e-05,0.7003089189529419,0.39393940567970276,0.39106911420822144,0.3470346927642822
73,89,0.0001229440385941416,0.31453144550323486,4.8993817472364753e-05,0.6657524108886719,0.6767676472663879,0.4232023060321808,0.39243924617767334
74,36,0.021808510646224022,0.8948894739151001,0.017021402716636658,0.7647176384925842,0.9090909361839294,0.8991498947143555,0.970797061920166
87,77,3.220929102099035e-06,0.07240723818540573,8.344646857949556e-07,0.7229976654052734,0.6969696879386902,0.2597759962081909,0.17011700570583344
90,46,0.00436232378706336,0.7436743378639221,0.0022079392801970243,0.5662758350372314,0.12121212482452393,0.5569356679916382,0.5802580118179321
91,15,0.002578810090199113,0.6841683983802795,0.0013873485149815679,0.8317883610725403,0.9797979593276978,0.7728573083877563,0.8691869378089905
